mosi,miso
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x55
0xFF,0xAA
0xFF,0xD3
0xFF,0x00
0xFF,0xFF
0x4C,0xFF
0x00,0xFE
0x00,0x00
0x00,0x00
0x00,0x00
0x61,0x00
0xFF,0x7F
0xFF,0x00
0xFF,0xFF
,
0x52,0xFF
0x00,0xFF
0x00,0xFF
0x76,0xFF
0x70,0xFF
0x47,0xFF
0xFF,0xFF
0xFF,0x00
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFE
0xFF,0x41
0xFF,0x73
0xFF,0x00
0xFF,0x70
0xFF,0x00
0xFF,0x69
0xFF,0x00
0xFF,0x72
0xFF,0x00
0xFF,0x61
0xFF,0x00
0xFF,0x0F
0xFF,0x00
0xFF,0x09
0xFF,0x6C
0xFF,0x00
0xFF,0x61
0xFF,0x00
0xFF,0x2E
0xFF,0x00
0xFF,0x67
0xFF,0x00
0xFF,0x63
0xFF,0x00
0xFF,0x6F
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x64
0xFF,0x00
0xFF,0x65
0xFF,0x00
0xFF,0x53
0xFF,0x50
0xFF,0x49
0xFF,0x52
0xFF,0x41
0xFF,0x4C
0xFF,0x7E
0xFF,0x31
0xFF,0x47
0xFF,0x43
0xFF,0x4F
0xFF,0x20
0xFF,0x00
0xFF,0xB4
0xFF,0x8C
0xFF,0x42
0xFF,0x3E
0xFF,0x53
0xFF,0x3E
0xFF,0x53
0xFF,0x00
0xFF,0x00
0xFF,0x17
0xFF,0x7F
0xFF,0x64
0xFF,0x51
0xFF,0x03
0xFF,0x00
0xFF,0xF1
0xFF,0x33
0xFF,0x00
0xFF,0x00
0xFF,0x41
0xFF,0x41
0xFF,0x00
0xFF,0x2E
0xFF,0x00
0xFF,0x6E
0xFF,0x00
0xFF,0x67
0xFF,0x00
0xFF,0x63
0xFF,0x00
0xFF,0x0F
0xFF,0x00
0xFF,0xC2
0xFF,0x00
0xFF,0x00
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0x00
0xFF,0x00
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0x41
0xFF,0x20
0xFF,0x20
0xFF,0x20
0xFF,0x20
0xFF,0x20
0xFF,0x20
0xFF,0x20
0xFF,0x4E
0xFF,0x47
0xFF,0x43
0xFF,0x20
0xFF,0x00
0xFF,0xBE
0xFF,0x8C
0xFF,0x42
0xFF,0x3E
0xFF,0x53
0xFF,0x3E
0xFF,0x53
0xFF,0x00
0xFF,0x00
0xFF,0x2D
0xFF,0xAF
0xFF,0x26
0xFF,0x53
0xFF,0x07
0xFF,0x00
0xFF,0x2F
0xFF,0x03
0xFF,0x00
0xFF,0x00
0xFF,0x41
0xFF,0x6C
